% Column 0: Length, inches
% Column 1: |Je|, MA/m^2
% Column 2: Re[Je], MA/m^2
% Column 3: Im[Je], MA/m^2
0.00000000e+000	0.00000000e+000	0.00000000e+000	0.00000000e+000	
5.17241379e-002	7.65226357e-008	2.15624996e-014	-7.65226357e-008	
1.03448276e-001	1.53103247e-007	4.29442857e-014	-1.53103247e-007	
1.55172414e-001	2.29826610e-007	6.38574514e-014	-2.29826610e-007	
2.06896552e-001	3.06689195e-007	8.45020007e-014	-3.06689195e-007	
2.58620690e-001	3.83627689e-007	1.05287961e-013	-3.83627689e-007	
3.10344828e-001	4.61063993e-007	1.24184637e-013	-4.61063993e-007	
3.62068966e-001	5.38565819e-007	1.42791768e-013	-5.38565819e-007	
4.13793103e-001	6.16693994e-007	1.59101913e-013	-6.16693994e-007	
4.65517241e-001	6.94936926e-007	1.74923895e-013	-6.94936926e-007	
5.17241379e-001	7.74120162e-007	1.88536584e-013	-7.74120162e-007	
5.68965517e-001	8.53560934e-007	2.01485419e-013	-8.53560934e-007	
6.20689655e-001	9.32841395e-007	2.14899223e-013	-9.32841395e-007	
6.72413793e-001	1.01315678e-006	2.24260827e-013	-1.01315678e-006	
7.24137931e-001	1.09442039e-006	2.28920901e-013	-1.09442039e-006	
7.75862069e-001	1.17635342e-006	2.31722024e-013	-1.17635342e-006	
8.27586207e-001	1.25897082e-006	2.32403633e-013	-1.25897082e-006	
8.79310345e-001	1.34137956e-006	2.34581101e-013	-1.34137956e-006	
9.31034483e-001	1.42565014e-006	2.28473290e-013	-1.42565014e-006	
9.82758621e-001	1.51076622e-006	2.17449456e-013	-1.51076622e-006	
1.03448276e+000	1.59660500e-006	2.05367988e-013	-1.59660500e-006	
1.08620690e+000	1.68384152e-006	1.85961813e-013	-1.68384152e-006	
1.13793103e+000	1.77134617e-006	1.66068429e-013	-1.77134617e-006	
1.18965517e+000	1.86025674e-006	1.42412562e-013	-1.86025674e-006	
1.24137931e+000	1.94969477e-006	1.16514363e-013	-1.94969477e-006	
1.29310345e+000	2.04069688e-006	8.46205294e-014	-2.04069688e-006	
1.34482759e+000	2.13237225e-006	5.20748302e-014	-2.13237225e-006	
1.39655172e+000	2.22536453e-006	1.52913024e-014	-2.22536453e-006	
1.44827586e+000	2.31965816e-006	-2.47241559e-014	-2.31965816e-006	
1.50000000e+000	2.41518184e-006	-6.64065221e-014	-2.41518184e-006	
